GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fake SMTP,com.nilhcem.fakesmtp.gui.listeners,AboutActionListener,139,0,8,0,30,0,8,0,4,0
Fake SMTP,com.nilhcem.fakesmtp.gui.listeners,ExitActionListener,12,0,0,0,6,0,2,0,2,0
Fake SMTP,com.nilhcem.fakesmtp.gui.listeners,MainWindowListener,95,0,10,0,25,0,8,0,3,0
Fake SMTP,com.nilhcem.fakesmtp.gui.listeners,MainWindowListener.new ActionListener() {...},40,0,0,0,8,0,2,0,2,0
Fake SMTP,com.nilhcem.fakesmtp.gui.listeners,AboutActionListener.new HyperlinkListener() {...},16,0,2,0,4,0,3,0,2,0
Fake SMTP,com.nilhcem.fakesmtp.model,EmailModel,3,42,0,0,1,18,1,12,1,12
Fake SMTP,com.nilhcem.fakesmtp.model,UIModel,12,102,2,6,6,30,5,12,3,10
Fake SMTP,com.nilhcem.fakesmtp.gui.info,SaveMsgField,50,0,4,0,13,0,5,0,3,0
Fake SMTP,com.nilhcem.fakesmtp.gui.info,StartServerButton,149,0,4,0,30,0,7,0,5,0
Fake SMTP,com.nilhcem.fakesmtp.gui.info,NbReceivedLabel,117,0,16,0,33,0,13,0,5,0
Fake SMTP,com.nilhcem.fakesmtp.gui.info,ClearAllButton,48,0,4,0,11,0,5,0,3,0
Fake SMTP,com.nilhcem.fakesmtp.gui.info,PortTextField,61,0,8,0,14,0,8,0,4,0
Fake SMTP,com.nilhcem.fakesmtp.gui.info,ClearAllButton.new ActionListener() {...},63,0,4,0,13,0,4,0,2,0
Fake SMTP,com.nilhcem.fakesmtp.gui.info,StartServerButton.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
